"season","aname","title","link","slot","day","startTime","endTime","station","episodes","episodesRev","percentage","date","ave","actor","producer","chiefProducer","director","script","original","themeSong","sungInDrama","inDramaSong","endingMusic","openingMusic","themeMusic","imageMusic","titleMusic","synopsis","MATCHED","TYPE","DISTANCE"
"0301","koukou","高校教師","http://www.tbs.co.jp/koukou/","金曜22：00〜22：54　（全11回）　","Fri","22:00","22:54","TBS","11","11","14.90,12.20,6.40,10.70,10.60,8.80,10.20,13.50,11.20,8.80,11.00","1/10,1/17,1/24,1/31,2/7,2/14,2/21,2/28,3/7,3/14,3/21","10.75","藤木直人,上戸彩,ソニン,成宮寛貴,眞鍋かをり,大倉孝二,蒼井優,京本政樹,眞野あずさ","伊藤一尋","","鴨下信一,吉田健,今井夏木","野島伸司","","森田童子,『ぼくたちの失敗』","","","","","","","","NO_SYNOPSIS","高校教師 (1993年のテレビドラマ)","REVISED","0.000"
"0301","yoiko","よい子の味方　〜新米保育士物語","http://www.ntv.co.jp/yoiko/","土曜21：00〜21：54　（全10回→全9回）　","Sat","21:00","21:54","日本テレビ","10","9","13.40,10.20,8.90,10.00,10.10,7.50,11.10,10.70,12.00","1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/15","10.43","櫻井翔,松下由樹,吹石一恵,遠藤章造,吉田日出子,濱田マリ,松嶋尚美,板谷由夏,矢沢心,乙葉","加藤正俊","井上健","大谷太郎,長沼誠","梅田みか","","嵐,『とまどいながら』","","","","","","","","新人の男性保育士を題材にしたドラマ。主人公の鈴木太陽は幼少期に母と死別した事が動機で保育士を志す。新人ゆえに些細な失敗も繰り返したり、男性ならではの独自の教育方法で最初は先輩の女性保育士たちから反感を買ってしまうが徐々に理解が得られていく。周りの同僚や利用者の家族に助けられながら成長して行くというストーリーである。","よい子の味方 〜新米保育士物語〜","REVISED","0.000"
"0301","goodluck","GOOD LUCK!!","http://www.tbs.co.jp/goodluck/","日曜21：00〜21：54　（全10回）　","Sun","21:00","21:54","TBS","10","10","31.60,27.50,28.60,27.60,30.90,28.20,28.90,29.70,33.50,37.60","1/19,1/26,2/2,2/9,2/16,2/23,3/2,3/9,3/16,3/23","30.41","木村拓哉,堤真一,柴咲コウ,内山理名,ユンソナ,加藤貴子,要潤,市川実和子,安住紳一郎,中尾明慶,竹中直人,いかりや長介,段田安則,黒木瞳","植田博樹,瀬戸口克","","土井裕泰,福澤克雄,平野俊一","井上由美子","","山下達郎,『RIDE ON TIME』","","","","","","","","NO_SYNOPSIS","GOOD LUCK!!","ORIGINAL","0.000"
"0304","lovecine","東京ラブシネマ","http://www.fujitv.co.jp/lovecine/","月曜21：00〜21：54　（全12回）　","Mon","21:00","21:54","フジテレビ","12","12","16.90,14.60,13.90,12.30,13.50,13.30,13.20,11.70,12.20,10.60,11.80,12.80","4/14,4/21,4/28,5/5,5/12,5/19,5/26,6/2,6/9,6/16,6/23,6/30","13.07","江口洋介,財前直見,宮迫博之,伊東美咲,白石美帆,玉山鉄二,石川亜沙美,高岡蒼佑,深浦加奈子,鷲尾いさ子,竹中直人","中島久美子,樋口徹","","平野眞","藤本有紀","","大滝詠一,『恋するふたり』","","","","","","","","NO_SYNOPSIS","東京ラブ・シネマ","REVISED","0.000"
"0304","madam","伝説のマダム","http://www.ytv.co.jp/madam/","月曜22：00〜22：54　（全11回）　","Mon","22:00","22:54","日本テレビ","11","11","8.90,6.50,7.40,6.30,7.00,5.90,5.40,5.70,6.80,5.80,6.80","4/14,4/21,4/28,5/5,5/12,5/19,5/26,6/2,6/9,6/16,6/23","6.59","桃井かおり,永作博美,高田万由子,大浦龍宇一,草刈正雄","前西和成,堀口良則,大森美孝,大沼睦美","藤井裕也","藤井裕也","野依美幸","横谷順子「男たちのウエディング・ウエディング」","矢井田瞳,『孤独なカウボーイ』","","","","","","","","マダムこと初島真利は、そのドレスを着た花嫁が幸せになるという伝説のドレス作家。噂を聞いた光善寺玲子はマダムを訪ねるが、マダムは玲子を痛烈にけなす。憤る玲子だが、ある事情からマダムにドレスを依頼する。","伝説のマダム","ORIGINAL","0.000"
"0304","kao","顔","http://www.fujitv.co.jp/KA-O/","火曜21：00〜21：54　（全11回）　","Tue","21:00","21:54","フジテレビ","11","11","15.60,11.90,15.20,12.20,12.40,10.60,11.70,11.70,11.10,12.30,10.90","4/15,4/22,4/29,5/6,5/13,5/20,5/27,6/3,6/10,6/17,6/24","12.33","仲間由紀恵,オダギリジョー,益岡徹,余貴美子,矢島健一,品川祐,京野ことみ,海東健","高橋萬彦,後藤博幸","","土方政人,松田秀知,都築淳一","","横山秀夫","Nao,『君があなたが』","","","","","","","","NO_SYNOPSIS","顔 (2003年のテレビドラマ)","REVISED","0.000"
"0304","marusa","マルサ","http://www.ktv.co.jp/marusa/","火曜22：00〜22：54　（全12回）　","Tue","22:00","22:54","フジテレビ","12","12","14.60,13.90,13.60,13.40,12.30,12.80,12.20,11.60,11.50,11.50,12.00,14.20","4/8,4/15,4/22,4/29,5/6,5/13,5/20,5/27,6/3,6/10,6/17,6/24","12.80","江角マキコ,香川照之,三宅健,池田真紀,永井大,佐藤二朗,猫背椿,東幹久,渡哲也","安藤和久,指田貴行,神山明子","","若松節朗","戸田山雅司","","星村麻衣,『GET HAPPY』","","","","","","","","通称“マルサ”と呼ばれる東京国税局査察部の査察総括第三課に属する査察官たちが、潜入捜査により悪質な脱税の証拠をつかむ様を描く。","マルサ!!東京国税局査察部","PREFIX","0.000"
"0304","diamond","ダイヤモンドガール","http://www.fujitv.co.jp/diamond/","水曜21：00〜21：54　（全12回）　","Wed","21:00","21:54","フジテレビ","12","12","12.50,12.30,10.40,11.00,10.90,10.70,10.50,10.80,9.60,9.30,9.80,11.30","4/9,4/16,4/23,4/30,5/7,5/14,5/21,5/28,6/4,6/11,6/18,6/25","10.76","観月ありさ,岸谷五朗,原沙知絵,谷原章介,濱田マリ,勝村政信,白川由美","稲田秀樹","","小椋久雄","川嶋澄乃","","観月ありさ,『Shout It Out』","","","","","","","","美しい容姿だけが自慢の令嬢・南條麗香は、婚約者の弁護士・夏目慎一郎に一方的にふられてしまう。諦めきれない麗華は彼を追って、大手弁護士事務所を訪れるが、彼は既に新人弁護士・園田詩織と付き合っていた。そんな中、麗華は仕事に厳しい人情派弁護士・鍋島耕介のアシスタントと働くうちに、自分を成長させていく。","ダイヤモンドガール","ORIGINAL","0.000"
"0304","kimipe","きみはペット","http://www.tbs.co.jp/kimipe/","水曜22：00〜22：54　（全10回）　","Wed","22:00","22:54","TBS","10","10","11.60,11.50,10.80,13.00,10.30,11.90,11.20,12.70,13.10,12.90","4/16,4/23,4/30,5/7,5/14,5/21,5/28,6/4,6/11,6/18","11.90","小雪,松本潤,田辺誠一,酒井若菜,瑛太,上原美佐,石原さとみ,光石研,マギー,佐藤隆太,乙葉,山咲トオル,長野博,山下真司,渡辺いっけい,鈴木紗理奈,長塚京三","鈴木早苗,濱田明子","","金子文紀,加藤新,高成麻畝子","大森美香","小川彌生「きみはペット」","V6,『Darling』","","","","","","","","巷談新聞社に勤める巌谷澄麗（スミレ）は、モデルの様な容姿と明晰な頭脳を持つ才色兼備のキャリアウーマンだが、本当は繊細で恋愛に不器用。失恋と左遷でストレスを抱えていたある日、スミレは家の前に転がっていたダンボールに捨てられた青年・合田武志を見つける。かつて飼っていたペットに似ている彼を見て、スミレはペットとして暮らす事を提案すると、意外にもすんなり受け入れられた。そんな2人の奇妙な同居生活を描いた異色ラブコメ。","きみはペット","ORIGINAL","0.000"
"0304","hotman","ホットマン","http://www.tbs.co.jp/hotman/","木曜21：00〜21：54　（全11回）　","Thu","21:00","21:54","TBS","11","11","17.40,14.60,13.90,12.70,13.70,13.80,14.80,12.80,14.90,14.10,14.20","4/10,4/17,4/24,5/1,5/8,5/15,5/22,5/29,6/5,6/12,6/19","14.26","反町隆史,矢田亜希子,小西真奈美,市川由衣,斉藤祥太,斉藤慶太,山内奈々,久我陽子,深見元基,中野英雄,黒谷友香","松井洋子,和田豊彦","","中島悟","樫田正剛","きたがわ翔「ホットマン」","EXILE,『Together』","","","","","","","","元不良で高校の美術教師をしている円造と、父親の違う4人の姉弟。そして、円造の娘・七海の6人を中心に家族の絆や成長を描いたストーリー。","ホットマン","ORIGINAL","0.000"
